station,date,DP10,DP1X,DT32,DX70,DX90,EMNT,EMXP,EMXT,HTDD,MNPN,MXPN,PRCP,TAVG,TMAX,country,latitude,longitude,elevation,location,geometry
IN018103100,2006-01-01T00:00:00,,,,341.0,196.0,,,110.0,,,,,,89.6,GH,30.333,76.467,251.0,PATIALA                                42101,POINT (8512267.50248925 3524850.4372237306)
IN018103100,2007-01-01T00:00:00,,,,321.0,203.0,,,114.0,,,,,,89.0,GH,30.333,76.467,251.0,PATIALA                                42101,POINT (8512267.50248925 3524850.4372237306)
IN018103100,2008-01-01T00:00:00,,,,317.0,200.0,,,110.0,,,,,,88.3,GH,30.333,76.467,251.0,PATIALA                                42101,POINT (8512267.50248925 3524850.4372237306)
IN018103100,2012-01-01T00:00:00,,,,313.0,197.0,,,115.0,,,,,,88.3,GH,30.333,76.467,251.0,PATIALA                                42101,POINT (8512267.50248925 3524850.4372237306)
IN018103100,2013-01-01T00:00:00,,,,327.0,195.0,,,115.0,,,,,,87.8,GH,30.333,76.467,251.0,PATIALA                                42101,POINT (8512267.50248925 3524850.4372237306)
IN018103100,2014-01-01T00:00:00,,,,308.0,186.0,,,115.0,,,,,,87.7,GH,30.333,76.467,251.0,PATIALA                                42101,POINT (8512267.50248925 3524850.4372237306)
IN018103100,2015-01-01T00:00:00,,,,309.0,190.0,,,110.0,,,,,,87.2,GH,30.333,76.467,251.0,PATIALA                                42101,POINT (8512267.50248925 3524850.4372237306)
IN018103100,2023-01-01T00:00:00,,,,328.0,188.0,,,113.0,,,,,,88.6,GH,30.333,76.467,251.0,PATIALA                                42101,POINT (8512267.50248925 3524850.4372237306)
IN023160900,2001-01-01T00:00:00,,,,327.0,70.0,,,104.0,,,,,,84.0,GH,30.317,78.033,682.0,DEHRADUN                               42111,POINT (8686593.825071516 3522797.3052539323)
IN023160900,2002-01-01T00:00:00,,,,309.0,93.0,,,102.0,,,,,,83.7,GH,30.317,78.033,682.0,DEHRADUN                               42111,POINT (8686593.825071516 3522797.3052539323)
IN023160900,2003-01-01T00:00:00,73.0,24.0,,315.0,89.0,,4.84,104.0,,,,61.72,,83.6,GH,30.317,78.033,682.0,DEHRADUN                               42111,POINT (8686593.825071516 3522797.3052539323)
