Row Labels,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
Panama,11,13,13,12,17,19,15,18,21,35,22,25,31,35,35,36,39,45,43,45,36,37,38,4,6,10,11,11,,683
Papua New Guinea,3,5,6,10,9,9,12,3,3,2,5,5,3,5,5,5,5,7,7,8,23,30,21,26,30,27,27,27,,328
Paraguay,181,172,172,123,181,254,174,127,154,253,293,379,417,564,417,396,342,289,235,179,160,204,246,247,249,249,264,264,,7185
Peru,168,163,177,173,174,322,428,472,518,542,649,669,683,722,586,597,660,729,765,796,824,836,846,891,918,904,915,915,,17042
Philippines,17,23,23,29,35,54,63,54,54,61,64,70,74,99,97,116,115,108,105,144,171,198,207,207,213,228,228,228,,3085
Poland,300,346,514,628,675,589,504,538,575,611,678,715,869,905,823,873,934,928,960,1019,1060,1118,1202,1249,1263,1285,1338,1396,1369,25264
Portugal,5684,5443,5223,5055,5054,4595,4697,4651,5315,4913,4900,4793,4526,4568,4514,4725,4802,4994,4164,4289,4813,4686,5273,5073,5390,4374,5269,6058,5500,143341
Republic of North Macedonia,129,193,382,480,179,100,118,160,223,200,200,120,120,150,150,150,150,150,150,150,252,400,103,99,266,265,265,263,,5567
Republic of Türkiye,286,325,228,296,220,191,222,178,167,191,268,234,203,366,461,595,586,564,622,629,636,513,664,772,748,681,775,775,,12396
Reunion island,83,83,83,83,83,83,83,83,83,83,,,,,,,,,,,,,,,,,,,,830
Romania,6554,6900,6500,5400,5823,5215,4705,4964,5050,5800,4086,3965,5539,5466,6066,5070,4137,4302,4559,4681,3991,3818,4140,3899,2243,2558,3709,2498,3000,134638
Russia,6915,4309,5368,5082,3365,4699,6067,6404,8682,9159,10193,11210,12610,12892,11895,10743,12564,11598,10555,9881,9658,9370,9041,8615,8682,8485,8069,8394,8646,253151
Rwanda,1,2,1,1,2,,1,1,1,1,1,2,1,,3,3,5,5,6,8,9,12,17,17,15,17,17,17,,166
Saint Helena,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,3
Saint Kitts and Nevis,2,1,1,2,1,2,1,1,2,1,2,3,3,3,3,2,2,1,2,2,2,3,3,2,2,2,2,2,,55
Saint Lucia,5,5,7,8,9,9,10,2,13,6,12,14,15,9,11,11,10,10,7,9,7,6,8,12,22,22,22,22,,303
Saint Pierre And Miquelon,3,2,2,2,,,,2,2,2,2,2,1,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,,53
Saint Vincent and the Grenadines,1,1,1,1,1,1,1,1,1,,1,1,2,3,4,3,2,1,2,2,3,3,2,2,2,3,3,3,,51
Samoa,,,,,,,,,1,1,1,,,,,,,,,,,1,2,2,1,1,1,1,,12
Sao Tome and Principe,10,23,23,26,28,24,25,32,37,37,32,33,32,27,25,30,43,43,41,41,36,35,32,32,34,32,32,32,,877
Senegal,40,36,35,44,51,45,74,97,90,88,72,84,76,83,77,76,75,70,59,66,68,60,66,60,55,54,54,54,,1809
Serbia,,,,,,,,,,,,1476,1878,2082,2495,1894,1694,1877,1487,1089,850,796,810,811,771,802,829,472,,22113
Serbia And Montenegro,2346,2467,2957,1559,896,1012,1054,1134,1323,1485,952,,,,,,,,,,,,,,,,,,,17185
Seychelles,2,2,3,2,3,2,3,10,11,5,6,8,11,9,9,11,15,13,11,19,23,29,29,10,12,17,17,17,,309
Sierra Leone,,1,1,1,,,,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,3,6,4,3,3,3,,51
Singapore,42,45,62,47,66,69,74,75,74,94,87,108,119,111,99,117,130,128,125,136,138,127,136,159,174,157,157,157,,3013
Slovakia,407,626,326,356,445,632,640,608,593,550,550,600,650,700,687,633,732,694,731,979,935,638,666,690,666,645,707,646,,17732
Slovenia,890,1124,1000,800,545,683,600,462,659,508,640,538,687,799,750,762,760,719,634,651,752,811,748,735,868,772,674,674,,20245
Solomon Islands,,1,1,,1,,,,,1,,1,1,1,1,1,1,,,1,1,2,2,2,1,1,1,1,,22
South Africa,3625,3584,3549,3399,3454,3439,3435,3444,3038,3074,3022,3040,3214,3221,3050,3133,3201,3287,3358,3622,3916,4047,4161,3965,3733,2983,3876,4561,4479,101910
Spain,15336,14459,14589,14793,14249,14046,14238,13960,14787,14330,14290,12852,11678,9542,10415,10359,9950,9850,9820,9810,9810,10578,10373,10741,10222,9218,10311,9636,9798,344040
Sri Lanka,1,1,1,1,2,1,2,4,3,3,3,7,7,2,2,2,5,8,10,12,11,12,12,14,15,11,11,11,,174
State of Palestine,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,7
Sudan,,,,,,,,,,,,1,1,2,1,1,2,1,,2,2,1,1,2,3,3,3,3,,29
Suriname,2,1,4,4,2,1,1,1,1,2,2,2,5,4,4,4,7,7,4,5,4,4,4,6,8,9,9,9,,116
Sweden,1071,1142,1051,1101,1202,1182,1320,1473,1502,1324,1535,1462,1768,2008,2154,2224,2295,2312,2375,2344,2330,2370,2348,2063,2025,2130,2119,2022,1975,52227
Switzerland,2800,2930,2900,2914,2946,3088,3077,3011,2967,2933,2875,2806,2920,2911,2885,2935,2872,2824,2877,2827,2805,2699,2481,2439,2553,2503,2551,2372,2347,81048
Syrian Arab Republic,3,3,3,2,3,4,4,4,5,4,3,3,3,3,4,3,4,3,1,2,1,2,2,2,1,1,1,1,,75
Tajikistan,70,106,57,45,50,34,55,60,62,62,62,40,30,20,11,4,4,4,4,4,5,5,4,4,4,4,4,4,,818
"Tanzania, the United Republic of",6,6,12,5,6,6,6,11,10,11,27,51,34,37,36,39,43,50,57,54,46,45,43,34,29,29,29,29,,791
Thailand,40,80,51,20,45,56,48,46,45,50,48,52,79,61,42,58,65,80,72,66,50,24,22,35,22,10,10,10,,1287
Timor-Leste,2,2,2,1,1,1,1,1,1,1,1,1,1,2,3,3,4,6,6,3,1,1,3,4,,,,,,52
Togo,14,26,26,25,18,15,27,29,38,59,67,80,97,94,69,51,62,75,68,57,57,48,9,3,1,,,,,1115
Tonga,,1,1,1,1,1,1,,1,1,,,,1,1,1,,,,,1,1,1,1,1,1,1,1,,19
Trinidad and Tobago,4,5,4,7,11,7,7,7,9,9,9,9,12,10,10,9,9,11,15,21,28,22,12,10,10,11,11,11,,300
Tunisia,248,212,198,244,217,208,224,202,217,215,210,241,126,191,191,184,186,226,287,309,308,307,302,308,340,359,350,173,,6783
Turkmenistan,220,182,282,312,355,363,243,245,246,247,247,222,193,190,170,397,391,391,391,387,383,385,385,389,444,499,502,502,,9163
Tuvalu,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,5
Uganda,1,1,2,3,2,1,1,1,3,3,2,2,3,10,6,11,15,14,21,21,22,23,23,28,22,12,12,12,,277
Ukraine,995,1148,1231,1274,1135,1204,1296,1817,1780,1714,1958,2214,2691,2612,2481,2487,2792,2771,2392,1809,813,1242,987,912,1400,1050,1122,1084,,46411
United Kingdom,6303,6811,8148,8765,9284,9696,10336,11222,11584,12742,13143,12672,13702,13483,12680,12900,12860,12801,12738,12562,12781,12935,13148,12904,12586,13735,13895,13132,12750,342298
United States of America,21765,20463,20800,20748,20858,21200,21250,22538,23801,24750,25850,26700,27850,27700,27250,27350,29064,28245,31403,31687,30318,30959,32695,33718,34282,32854,33079,34344,33314,796835
Uruguay,976,963,1082,1132,1087,945,984,814,754,848,869,818,802,790,747,712,690,641,683,647,640,609,647,645,594,684,641,591,394,22429
Uzbekistan,818,483,606,585,586,390,422,322,453,346,235,223,237,238,121,130,154,159,284,238,244,230,130,108,119,138,163,163,,8325
Vanuatu,6,3,5,5,4,2,1,2,2,2,2,2,2,2,5,5,4,4,3,4,4,5,6,6,6,6,6,6,,110
Venezuela,55,77,105,125,135,160,201,110,533,127,153,238,270,253,197,178,173,205,163,100,59,23,24,24,24,24,24,24,,3784
Vietnam,7,9,14,22,26,38,40,28,30,40,50,56,71,78,81,95,113,119,84,58,69,77,82,89,94,77,58,58,,1663
Zambia,1,6,5,6,3,3,4,2,1,6,3,8,7,9,7,5,6,9,14,30,36,36,42,34,29,27,27,27,,393
Zimbabwe,28,26,30,25,27,20,21,23,23,19,24,30,31,38,41,38,35,36,38,42,48,41,35,38,31,17,22,22,,849
Grand Total,454370,442820,449802,456188,451035,450800,454679,459579,477354,475753,478131,484659,499701,494170,483379,480231,484028,487268,489349,478905,480964,487987,491103,480440,472243,462696,467674,459023,421127,13655458
