Year,country,Gallons
1995,BC,0.0
1996,BC,0.0
1997,BC,0.0
1998,BC,0.0
1999,BC,0.0
2000,BC,0.0
2001,BC,0.0
2002,BC,0.0
2003,BC,0.0
2004,BC,0.0
2005,BC,0.0
2006,BC,0.0
2007,BC,0.0
2008,BC,0.0
2009,BC,0.0
2010,BC,0.0
2011,BC,0.0
2012,BC,0.0
2013,BC,0.0
2014,BC,0.0
2015,BC,0.0
2016,BC,0.0
2017,BC,0.0
2018,BC,0.0
2019,BC,0.0
2020,BC,0.0
2021,BC,0.0
2022,BC,0.0
1995,BR,82633001.60000001
1996,BR,61287904.0
1997,BR,72462379.60000001
1998,BR,73492650.4
1999,BR,82315995.2
2000,BR,96105773.60000001
2001,BR,78406249.60000001
2002,BR,84852046.4
2003,BR,69213064.0
2004,BR,103687510.0
2005,BR,84508622.8
2006,BR,62661598.4
2007,BR,92513034.4
2008,BR,97294547.60000001
2009,BR,71854784.0
2010,BR,64959894.800000004
2011,BR,91403512.0
2012,BR,78379832.4
2013,BR,71590612.0
2014,BR,74232332.0
2015,BR,71300022.8
2016,BR,33206420.400000002
2017,BR,93860311.60000001
2018,BR,81470644.8
2019,BR,57483827.2
2020,BR,59623620.4
2021,BR,77349561.60000001
2022,BR,84535040.0
2023,BR,94758496.4
1995,BX,0.0
1996,BX,0.0
1997,BX,0.0
1998,BX,0.0
1999,BX,0.0
2000,BX,0.0
2001,BX,0.0
2002,BX,0.0
2003,BX,0.0
2004,BX,0.0
2005,BX,0.0
2006,BX,0.0
2007,BX,0.0
2008,BX,0.0
2009,BX,0.0
2010,BX,0.0
2011,BX,0.0
2012,BX,0.0
2013,BX,0.0
2014,BX,0.0
2015,BX,0.0
2016,BX,0.0
2017,BX,0.0
2018,BX,0.0
2019,BX,0.0
2020,BX,0.0
2021,BX,0.0
2022,BX,0.0
1995,BU,69767825.2
1996,BU,93358384.8
1997,BU,89052381.2
1998,BU,56242218.800000004
1999,BU,45305498.0
2000,BU,87308846.0
2001,BU,59702872.0
2002,BU,52358890.4
2003,BU,61129400.800000004
2004,BU,51487122.800000004
2005,BU,45120577.6
2006,BU,46415020.4
2007,BU,47445291.2
2008,BU,42716612.4
2009,BU,32915831.2
2010,BU,27209716.0
2011,BU,29006085.6
2012,BU,35319796.4
2013,BU,46362186.0
2014,BU,22005527.6
2015,BU,36112312.4
2016,BU,32889414.0
2017,BU,30564700.400000002
2018,BU,28636244.8
2019,BU,24250989.6
2020,BU,22454620.0
2021,BU,23590559.6
2022,BU,20975256.8
2023,BU,22454620.0
1995,UV,0.0
1996,UV,0.0
1997,UV,0.0
1998,UV,0.0
1999,UV,0.0
2000,UV,0.0
2001,UV,0.0
2002,UV,0.0
2003,UV,0.0
2004,UV,0.0
2005,UV,0.0
2006,UV,0.0
2007,UV,0.0
2008,UV,0.0
2009,UV,0.0
2010,UV,0.0
2011,UV,0.0
2012,UV,0.0
2013,UV,0.0
2014,UV,0.0
2015,UV,0.0
2016,UV,0.0
2017,UV,0.0
2018,UV,0.0
2019,UV,0.0
2020,UV,0.0
2021,UV,0.0
2022,UV,0.0
1995,BY,0.0
1996,BY,0.0
1997,BY,0.0
1998,BY,0.0
1999,BY,0.0
2000,BY,0.0
2001,BY,0.0
2002,BY,0.0
2003,BY,0.0
2004,BY,0.0
2005,BY,0.0
2006,BY,0.0
2007,BY,0.0
2008,BY,0.0
2009,BY,0.0
2010,BY,0.0
2011,BY,0.0
2012,BY,0.0
2013,BY,0.0
2014,BY,0.0
2015,BY,0.0
2016,BY,0.0
2017,BY,0.0
2018,BY,0.0
2019,BY,0.0
2020,BY,0.0
2021,BY,0.0
2022,BY,0.0
1995,CV,0.0
1996,CV,0.0
1997,CV,0.0
1998,CV,0.0
1999,CV,0.0
2000,CV,0.0
2001,CV,0.0
2002,CV,0.0
2003,CV,0.0
2004,CV,0.0
2005,CV,0.0
2006,CV,0.0
2007,CV,0.0
2008,CV,0.0
2009,CV,0.0
2010,CV,0.0
2011,CV,0.0
2012,CV,0.0
2013,CV,0.0
2014,CV,0.0
2015,CV,0.0
2016,CV,0.0
2017,CV,0.0
2018,CV,0.0
2019,CV,0.0
2020,CV,0.0
2021,CV,0.0
2022,CV,0.0
1995,CB,0.0
1996,CB,0.0
1997,CB,0.0
1998,CB,0.0
1999,CB,0.0
2000,CB,0.0
2001,CB,0.0
2002,CB,0.0
2003,CB,0.0
2004,CB,0.0
2005,CB,0.0
2006,CB,0.0
2007,CB,0.0
2008,CB,0.0
2009,CB,0.0
2010,CB,0.0
2011,CB,0.0
2012,CB,0.0
2013,CB,0.0
2014,CB,0.0
2015,CB,0.0
2016,CB,0.0
2017,CB,0.0
2018,CB,0.0
2019,CB,0.0
2020,CB,0.0
2021,CB,0.0
2022,CB,0.0
1995,CM,0.0
1996,CM,0.0
1997,CM,0.0
1998,CM,0.0
1999,CM,0.0
2000,CM,0.0
2001,CM,0.0
2002,CM,0.0
2003,CM,0.0
2004,CM,0.0
2005,CM,0.0
2006,CM,0.0
2007,CM,0.0
2008,CM,0.0
2009,CM,0.0
2010,CM,0.0
2011,CM,0.0
2012,CM,0.0
2013,CM,0.0
2014,CM,0.0
2015,CM,0.0
2016,CM,0.0
2017,CM,0.0
2018,CM,0.0
2019,CM,0.0
2020,CM,0.0
2021,CM,0.0
2022,CM,0.0
1995,CA,9378106.0
1996,CA,8796927.6
1997,CA,9087516.8
1998,CA,10461211.200000001
1999,CA,13525606.4
2000,CA,11306561.6
2001,CA,11755654.0
2002,CA,12389666.8
2003,CA,9483774.8
2004,CA,13789778.4
2005,CA,7687405.2
2006,CA,13921864.4
2007,CA,13261434.4
2008,CA,14344539.6
2009,CA,11993408.8
2010,CA,13393520.4
2011,CA,16220160.8
2012,CA,16378664.0
2013,CA,18412788.400000002
2014,CA,15374810.4
2015,CA,15797485.6
2016,CA,16854173.6
2017,CA,18597708.8
2018,CA,18571291.6
2019,CA,18412788.400000002
2020,CA,17329683.2
2021,CA,17329683.2
2022,CA,17329683.2
1995,CJ,0.0
1996,CJ,0.0
1997,CJ,0.0
1998,CJ,0.0
1999,CJ,0.0
2000,CJ,0.0
2001,CJ,0.0
2002,CJ,0.0
2003,CJ,0.0
2004,CJ,0.0
2005,CJ,0.0
2006,CJ,0.0
2007,CJ,0.0
2008,CJ,0.0
2009,CJ,0.0
2010,CJ,0.0
2011,CJ,0.0
2012,CJ,0.0
2013,CJ,0.0
2014,CJ,0.0
2015,CJ,0.0
2016,CJ,0.0
2017,CJ,0.0
2018,CJ,0.0
2019,CJ,0.0
2020,CJ,0.0
2021,CJ,0.0
2022,CJ,0.0
1995,CT,0.0
1996,CT,0.0
1997,CT,0.0
1998,CT,0.0
1999,CT,0.0
2000,CT,0.0
2001,CT,0.0
2002,CT,0.0
2003,CT,0.0
2004,CT,0.0
2005,CT,0.0
2006,CT,0.0
2007,CT,0.0
2008,CT,0.0
