station,date,DP10,DP01,DP1X,DT32,DT00,DX70,DX90,PRCP,RHAV,TAVG,TMAX,TMIN,EMXT,EMNT,HTDD,EMXP,MNPN,MXPN,HXyz,HNyz
GHCND:AG000060611,2006-01-01,,,,,,,,0.92,,,,,,,,,,,,
GHCND:AG000060611,2007-01-01,,7,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2007-01-01,2,,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2007-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2007-01-01,,,,,,,,,,,,,,,,0.59,,,,
GHCND:AG000060611,2007-01-01,,,,,,,,1.3,,,,,,,,,,,,
GHCND:AG000060611,2008-01-01,,6,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2008-01-01,4,,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2008-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2008-01-01,,,,,,,,,,,,,,,,0.24,,,,
GHCND:AG000060611,2008-01-01,,,,,,,,0.74,,,,,,,,,,,,
GHCND:AG000060611,2009-01-01,,7,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2009-01-01,2,,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2009-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2009-01-01,,,,,,,,,,,,,,,,0.12,,,,
GHCND:AG000060611,2009-01-01,,,,,,,,0.44,,,,,,,,,,,,
GHCND:AG000060611,2010-01-01,,3,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2010-01-01,1,,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2010-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2010-01-01,,,,,,,,,,,,,,,,0.2,,,,
GHCND:AG000060611,2010-01-01,,,,,,,,0.25,,,,,,,,,,,,
GHCND:AG000060611,2011-01-01,,8,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2011-01-01,7,,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2011-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2011-01-01,,,,,,,,,,,,,,,,0.55,,,,
GHCND:AG000060611,2011-01-01,,,,,,,,1.63,,,,,,,,,,,,
GHCND:AG000060611,2012-01-01,,4,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2012-01-01,1,,,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2012-01-01,,,0,,,,,,,,,,,,,,,,,
GHCND:AG000060611,2012-01-01,,,,,,,,,,,,,,,,0.2,,,,
GHCND:AG000060611,2012-01-01,,,,,,,,0.38,,,,,,,,,,,,
